DISTRICT_N,accred_status,perc_frl,perc_college,spending_per_stud
Affton 101,Accredited,33.60,45,10671
Bayless,Accredited,62.30,30.80,10394
Brentwood,Accredited,23.90,67.70,19111
Clayton,Accredited,9.30,76.70,18343
Crystal City 47,Accredited,43.70,19.00,10122
Desoto 73,Accredited,45.50,22.20,9429
Dunklin R-V,Accredited,49.80,12.00,11374
Elsberry R-II,Accredited,48.50,45.50,9564
Ferguson Florissant R-II,Accredited,100.00,26.50,13144
Festus R-VI,Accredited,35.90,28.60,9085
Fort Zumwalt R-II,Accredited,19.90,48.80,11801
Fox C-6,Accredited,28.80,31.80,9249
Francis Howell R-III,Accredited,16.10,51.90,11463
Franklin County R-II,Accredited,30.50,0.00,12114
Grandview R-II,Accredited,45.20,17.00,11281
Hancock Place,Accredited,99.90,25.00,11718
Hazelwood R-I,Accredited,65.20,33.20,11007
Hillsboro R-III,Accredited,33.40,25.40,9269
Jefferson County R-VII,Accredited,29.10,37.10,11138
Jennings,Accredited,100.00,29.70,10689
Kirkwood R-VII,Accredited,11.00,67.60,11148
Ladue,Accredited,10.00,80.40,13361
Lindbergh R-VIII,Accredited,13.10,58.40,9576
Lonedell R-XIV,Accredited,44.90,0.00,10192
Maplewood-Richmond Heights,Accredited,32.50,52.00,12785
Mehlville R-IX,Accredited,27.20,40.40,9592
Meramec Valley R-III,Accredited,48.50,32.70,10952
New Haven,Accredited,36.30,26.10,9934
Normandy,Provisionally Accredited,98.80,23.80,13713
Northwest R-I,Accredited,39.60,24.30,9855
Orchard Farm R-V,Accredited,32.00,38.20,12841
Parkway C-2,Accredited,18.50,67.90,12490
Pattonville R-III,Accredited,45.70,43.10,14040
Ritenour,Accredited,20.80,23.20,9690
Riverview Gardens,Provisionally Accredited,99.90,11.40,9207
Rockwood R-VI,Accredited,13.30,73.40,10509
Silex R-I,Accredited,35.80,34.40,8342
Spring Bluff R-XV,Accredited,21.90,0.00,9754
Saint Charles R-VI,Accredited,39.20,40.30,14499
Saint Clair R-XIII,Accredited,49.60,20.80,9869
Saint Louis City,Accredited,100.00,32.00,15562
Strain-Japan R-XVI,Accredited,24.60,0.00,10826
Sullivan C-2,Accredited,50.40,27.60,9851
Sunrise R-IX,Accredited,47.10,0.00,8558
Troy R-III,Accredited,33.70,29.60,9437
Union R-XI,Accredited,45.80,22.40,9487
University City,Accredited,100.00,33.00,15469
Valley Park,Accredited,40.70,40.50,12989
Warren County R-III,Accredited,50.00,20.80,10545
Washington,Accredited,30.80,27.90,11253
Webster Groves,Accredited,13.90,71.00,12381
Wentzville R-IV,Accredited,16.70,43.80,10488
Windsor C-1,Accredited,34.30,26.70,9322
Winfield R-IV,Accredited,45.10,21.60,9277
Wright City R-II,Accredited,43.70,18.00,11243
