DISTRICT_N,accred_status,perc_frl,perc_college,spending_per_stud,num_students,perc_na,perc_asian,perc_black,perc_pi,perc_hisp,perc_multi,perc_white,story
Affton 101,Accredited,33.60,45,10671,2587,,2.90,9.30,,6.30,7.90,73.60,
Bayless,Accredited,62.30,30.80,10394,1715,,12.50,12.20,,5.20,4.40,65.70,
Brentwood,Accredited,23.90,67.70,19111,768,,6.60,17.70,,5.30,8.30,61.80,
Clayton,Accredited,9.30,76.70,18343,2618,,12.90,14.70,,4.40,6.90,61.00,
Crystal City 47,Accredited,43.70,19.00,10122,496,,1.40,8.30,,1.60,,88.30,
Desoto 73,Accredited,45.50,22.20,9429,2587,0.20,,1.70,,1.40,0.90,95.60,
Dunklin R-V,Accredited,49.80,12.00,11374,1481,,1.10,3.10,,2.50,3.50,89.50,
Elsberry R-II,Accredited,48.50,45.50,9564,787,,,2.70,,3.80,4.10,88.80,
Ferguson Florissant R-II,Accredited,100.00,26.50,13144,9473,0.10,0.20,83.00,,3.60,5.00,8.10,
Festus R-VI,Accredited,35.90,28.60,9085,3096,0.20,0.80,3.10,,1.30,6.90,87.70,
Fort Zumwalt R-II,Accredited,19.90,48.80,11801,17518,0.10,3.60,6.30,0.10,5.90,5.70,78.20,
Fox C-6,Accredited,28.80,31.80,9249,11150,0.10,1.20,1.40,0.10,3.10,3.20,90.80,
Francis Howell R-III,Accredited,16.10,51.90,11463,16756,0.20,4.10,6.90,0.10,4.70,4.60,79.40,
Franklin County R-II,Accredited,30.50,0.00,12114,119,,,,,,,95.00,
Grandview R-II,Accredited,45.20,17.00,11281,4101,0.30,0.70,50.50,,23.20,5.10,20.10,
Hancock Place,Accredited,99.90,25.00,11718,1412,,1.30,22.10,,7.00,10.40,58.90,
Hazelwood R-I,Accredited,65.20,33.20,11007,16589,0.20,0.90,80.10,0.20,2.20,2.00,14.30,
Hillsboro R-III,Accredited,33.40,25.40,9269,3428,0.30,0.30,0.40,,2.10,1.50,95.40,
Jefferson County R-VII,Accredited,29.10,37.10,11138,129,,,,,,,100.00,
Jennings,Accredited,100.00,29.70,10689,2429,,,98.80,,0.50,,0.30,
Kirkwood R-VII,Accredited,11.00,67.60,11148,5864,0.10,1.70,9.30,,4.40,5.30,79.10,
Ladue,Accredited,10.00,80.40,13361,4236,0.10,16.80,15.00,,5.10,6.80,56.20,
Lindbergh R-VIII,Accredited,13.10,58.40,9576,7085,,4.30,2.20,,4.30,4.20,84.80,
Lonedell R-XIV,Accredited,44.90,0.00,10192,283,,,3.20,,,3.50,93.30,
Maplewood-Richmond Heights,Accredited,32.50,52.00,12785,1438,,1.80,17.60,,5.40,10.80,64.20,
Mehlville R-IX,Accredited,27.20,40.40,9592,9963,0.20,3.80,7.70,0.20,3.80,4.00,80.30,
Meramec Valley R-III,Accredited,48.50,32.70,10952,2909,0.50,0.60,1.60,,4.10,3.50,89.60,
